Day,No,Word,Meaning,Target_Score,TOEIC_Frequency,Word_Type,Difficulty
1,1,effective,"효과적인, (법률 등이) 발효되는, 시행되는",650,10,adjective,intermediate
1,2,target,"목표, 목표로 삼다",650,10,noun,basic
1,3,immediately,"즉시, 곧",650,10,adverb,basic
1,4,less,"보다 적은, 덜한",650,10,adjective,basic
1,5,negotiation,"협상,교섭",650,5,other,intermediate
1,6,policy,"규정, 보험 증권",650,10,noun,basic
1,7,alliance,"동맹, 제휴",650,5,other,intermediate
1,8,meet,(필요〮요구 등을 만족시키다),650,10,verb,basic
1,9,check,"검사, 검사하다, 조사하다, 확인하다",650,10,verb,basic
1,10,approval,"승인, 인가",650,10,noun,basic
1,11,stipulation,계약 조건,650,5,other,intermediate
1,12,affect,"~에 영향을 미치다, 불리하게 작용하다",650,10,verb,basic
1,13,apply,"적용하다, 지원하다",650,10,verb,basic
1,14,agreement,"계약,협정,합의",650,5,other,intermediate
1,15,department,(조직 및 기구의) 부서,650,10,noun,basic
1,16,identify,"알아보다, 확인하다",650,10,verb,intermediate
1,17,efficiently,효율적으로,650,10,adverb,intermediate
1,18,compliance,(명령 〮 법규에의) 준수,650,10,noun,intermediate
1,19,agree,동의하다,650,10,verb,basic
1,20,regulation,규정,650,10,noun,basic
1,21,required,"필수의, 의무적인",650,10,adjective,basic
1,22,cover,"포함하다, 지불하다, 덮다",650,10,verb,basic
1,23,compromise,"타협,화해",650,5,other,intermediate
1,24,responsible,"책임이 있는, 책임져야 할",650,10,adjective,basic
1,25,inform,~에게 알리다,650,10,verb,basic
1,26,file,"서류, (서류를) 정리하다, 철하다, 정식으로 제기하다",650,10,noun,basic
1,27,permission,"허락, 허가",650,10,noun,basic
1,28,note,"주목하다, 특별히 언급하다",650,10,verb,basic
1,29,deadline,"마감일, 마감 시간",650,10,noun,basic
1,30,deadlock,교착 상태,650,5,other,intermediate
1,31,manufacturing,제조(업)의,650,9,other,basic
1,32,raise,"높이다, 올리다, (의문을)제기하다",650,10,verb,basic
1,33,condition,조건,650,10,noun,basic
1,34,employment,고용,650,10,noun,basic
1,35,extend,"연장하다, (기간을)늘리다,
(감사의 뜻을)말하다, 베풀다",650,10,verb,basic
1,36,notify,"~에게 통지하다, 알리다",650,10,verb,basic
1,37,experience,"경험, 체험, 체험하다, 경험하다",650,10,noun,basic
1,38,employee,"직원, 고용인",650,10,noun,basic
1,39,approximately,대략,650,10,adverb,basic
1,40,position,"일자리,직책,두다",650,10,noun,basic
1,41,according to,~에 따라,650,10,phrase,basic
1,42,additional,"추가의, 부가적인",650,10,adjective,basic
1,43,professional,"전문적인,직업의,전문가",650,10,adjective,basic
1,44,explain,설명하다,650,10,verb,basic
1,45,announcement,"공고, 발표",650,10,noun,basic
1,46,need,"필요, 요구, 욕구, ~할 필요가 있다",650,10,noun,basic
1,47,submit,제출하다,650,10,verb,basic
1,48,applicant,"지원자,신청자",650,10,noun,basic
1,49,upcoming,"곧 있을, 다가오는",650,10,adjective,basic
1,50,demand,"수요, 요구하다",650,10,noun,intermediate
1,51,request,"요청, 요청하다",650,10,verb,basic
1,52,remain,"계속 ~한 상태이다, 아직 ~해야 한다",650,10,verb,basic
1,53,pleased,"만족해하는, 기쁜",650,10,adjective,basic
1,54,lead,"이끌다, 지휘하다, (어떤 결과에)이르다",650,10,verb,basic
1,55,present,"제시하다, 현재의, 참석한",650,10,verb,basic
1,56,interview,"면접,면접을 보다",650,10,noun,basic
1,57,very,"매우, 대단히, 아주",650,10,adverb,basic
1,58,outstanding,"우수한, (부채 등이)미지불 된",650,10,adjective,intermediate
1,59,issue,"(출판물의)제~호, 문제, 쟁점",650,10,noun,basic
1,60,period,"기간, 시기",650,10,noun,basic
1,61,manage,"~을 경영하다, 가까스로 하다",650,10,verb,basic
1,62,requirement,"필요조건,요건",650,10,noun,basic
1,63,industry,산업,650,10,noun,basic
1,64,allow,"~하게하다, ~을 허락하다",650,10,verb,basic
1,65,indicate,"보여주다, 나타내다",650,10,verb,intermediate
1,66,proposal,"제안,계획",650,5,other,intermediate
1,67,form,"종류, 유형, 양식",650,10,noun,basic
1,68,satisfied,"만족하는, 만족스러워하는",650,10,adjective,basic
1,69,hardly,거의~하지 않다,650,10,adverb,basic
1,70,local,"지방의, 고장의",650,10,adjective,basic
1,71,audience,"청중, 관중",650,10,noun,basic
1,72,highly,"매우,대단히",650,10,adverb,basic
1,73,current,"현재의, 현행의, 통용되는",650,10,adjective,basic
1,74,appreciate,"고맙게 생각하다, 높이 평가하다, 감상하다",650,10,verb,intermediate
1,75,effort,노력,650,10,noun,basic
1,76,price,가격,650,10,noun,basic
1,77,entire,전체의,650,10,adjective,basic
1,78,promptly,"즉시, 정각에",650,10,adverb,intermediate
1,79,customer,고객,650,10,noun,basic
1,80,term,"조건, 임기, 기한",650,5,other,intermediate
2,1,acknowledge,"인정하다, (편지 등의) 수령을 알리다",650,10,verb,intermediate
2,2,convenience,"편의, 편리",650,10,noun,basic
2,3,area,"지역, 구역",650,10,noun,basic
2,4,involve,"수반하다, 포함하다, 참여시키다",650,10,verb,basic
2,5,offer,"제공하다, 제공, 오퍼",650,10,noun,basic
2,6,delivery,배달,650,10,noun,basic
2,7,attend,"참석하다, 출석하다",650,10,verb,basic
2,8,establish,설립하다,650,10,verb,basic
2,9,contact,"~와 연락하다, 
(상업적 목적으로)교섭하고 있는 사람",650,10,verb,basic
2,10,confirm,확인하다,650,10,verb,basic
2,11,efficiency,"효율, 능률",650,10,noun,basic
2,12,feature,"특징, 특색, 특징으로 삼다, 특별히 포함하다",650,10,noun,basic
2,13,improve,"향상시키다, 개선하다",650,10,verb,basic
2,14,safety,안전,650,10,noun,basic
2,15,organize,"준비하다, 조직하다, 정리하다",650,10,verb,basic
2,16,provide,"공급하다, 제공하다",650,10,verb,basic
2,17,run,"~을 운영하다, 경영하다,
(공연, 영화 등이) 상영되다, 계속되다",650,10,verb,basic
2,18,decision,"결정, 판단",650,10,noun,basic
2,19,reduce,"줄이다, 감소시키다",650,10,verb,basic
2,20,preparation,"준비, 대비",650,10,noun,basic
2,21,cancel,취소하다,650,10,verb,basic
