Day,No,Word,Meaning,Target_Score,Priority,Source_Type
20,1,audit,"회계 감사, 심사",650,1,Headword_650
20,2,accounting,회계,650,1,Headword_650
20,3,budget,예산,650,1,Headword_650
20,4,financial,"재정의, 금전상의",650,1,Headword_650
20,5,curtail,"~을 줄이다, 삭감하다",650,1,Headword_650
20,6,deficit,"적자, 부족액",650,1,Headword_650
20,7,recently,최근에,650,1,Headword_650
20,8,substantially,"크게, 상당히",650,1,Headword_650
20,9,committee,위원회,650,1,Headword_650
20,10,frequently,"자주, 흔히",650,1,Headword_650
20,11,capability,"능력, 역량",650,1,Headword_650
20,12,proceeds,수익금,650,1,Headword_650
20,13,reimburse,"변제하다, 상환하다",650,1,Headword_650
20,14,considerably,"상당히, 많이",650,1,Headword_650
20,15,adequate,"충분한, 적절한",650,1,Headword_650
20,16,total,"총계의, 전부의",650,1,Headword_650
20,17,allocate,"할당하다, 배분하다",650,1,Headword_650
20,18,inspector,"조사관, 감독관",650,1,Headword_650
20,19,preferred,"선호되는, 우선의",650,1,Headword_650
20,20,quarter,"사분기, 4분의1",650,1,Headword_650
20,21,interrupt,"중단시키다, 방해하다",650,1,Headword_650
20,22,browse,"훑어보다, 둘러보다",650,1,Headword_650
20,23,prompt,"즉각적인, 신속한, 촉발하다, 유도하다",650,1,Headword_650
20,24,deduct,"공제하다, 빼다",650,1,Headword_650
20,25,measurement,"측정, 측량, 치수",650,1,Headword_650
20,26,shorten,"단축하다, 짧게 하다",650,1,Headword_650
20,27,amend,수정하다,650,1,Headword_650
20,28,calculate,"계산하다, 산출하다",650,1,Headword_650
20,29,exempt,"면제된, ~이 없는",650,1,Headword_650
20,30,deficient,"부족한, 불충분한",650,1,Headword_650
20,31,compare,비교하다,650,1,Headword_650
20,32,fortunate,운 좋은,650,1,Headword_650
20,33,expenditure,"지출, 비용",650,1,Headword_650
20,34,accurately,정확하게,650,1,Headword_650
20,35,worth,"~의 가치가 있는, (얼마) 어치, 가치",650,1,Headword_650
20,36,excess,"초과, 초과량",650,1,Headword_650
20,37,fiscal,"회계의, 재정상의",650,1,Headword_650
20,38,incidental,부수적인,650,1,Headword_650
20,39,inflation,"물가 상승, 인플레이션, 통화 팽창",650,1,Headword_650
20,40,liable,"책임져야 할, ~하기 쉬운",650,1,Headword_650
20,41,spend,"~을 쓰다, 소비하다",650,2,Basic_LCRC_650
20,42,turnover,"총 매상고, 거래액, 이직률",650,2,Basic_LCRC_650
20,43,abundant,"풍부한, 많은",650,2,Basic_LCRC_650
20,44,contest,"대회, 시합",650,2,Basic_LCRC_650
20,45,glass cabinet,유리 장식장,650,2,Basic_LCRC_650
20,46,picture,그림,650,2,Basic_LCRC_650
20,47,powerful,"영향력 있는, 유력한",650,2,Basic_LCRC_650
20,48,shore,"(바다·강·호수의) 물가, 강기슭",650,2,Basic_LCRC_650
20,49,tie,"묶다, 매다",650,2,Basic_LCRC_650
20,50,addition,"추가, 추가물",650,2,Basic_LCRC_650
20,51,advisor,"조언자, 고문",650,2,Basic_LCRC_650
20,52,attack,공격하다,650,2,Basic_LCRC_650
20,53,expressive,(생각·감정을) 나타내는,650,2,Basic_LCRC_650
20,54,fund,자금,650,2,Basic_LCRC_650
20,55,funding,자금 제공,650,2,Basic_LCRC_650
20,56,generate,"창출하다, 야기하다",650,2,Basic_LCRC_650
20,57,however,"하지만, 그러나",650,2,Basic_LCRC_650
20,58,in the coming year,다가오는 해에,650,2,Basic_LCRC_650
20,59,in the direction of,~방향으로,650,2,Basic_LCRC_650
20,60,model number,모델 번호,650,2,Basic_LCRC_650
20,61,overcome,극복하다,650,2,Basic_LCRC_650
20,62,proper,적절한,650,2,Basic_LCRC_650
20,63,question,"질문, 질문하다",650,2,Basic_LCRC_650
20,64,rare,드문,650,2,Basic_LCRC_650
20,65,score,"득점, 점수, 악보, 득점을 올리다",650,2,Basic_LCRC_650
20,66,senior,"상급자, 상급의",650,2,Basic_LCRC_650
20,67,shortcoming,"결점, 단점",650,2,Basic_LCRC_650
20,68,temporary,일시적인,650,2,Basic_LCRC_650
20,69,theme,"주체, 테마",800,3,Intermediate_800
20,70,traditional,전통의,800,3,Intermediate_800
20,71,a copy of,(책·서류) 한 부,800,3,Intermediate_800
20,72,at a fast pace,빠른 속도로,800,3,Intermediate_800
20,73,be assigned to,~로 배정되다,800,3,Intermediate_800
20,74,be similar to,~과 유사하다,800,3,Intermediate_800
20,75,bring together,불러 모으다,800,3,Intermediate_800
20,76,certainly,확실히,800,3,Intermediate_800
20,77,charge for,~에 대한 대금,800,3,Intermediate_800
20,78,cut down,~을 줄이다,800,3,Intermediate_800
20,79,decide on,~으로 결정하다,800,3,Intermediate_800
20,80,flat,"일률적인, 바람이 빠진, 아파트",800,3,Intermediate_800
20,81,flawless,결점 없는,800,3,Intermediate_800
20,82,handbook,안내서,800,3,Intermediate_800
20,83,handwritten,손으로 쓴,800,3,Intermediate_800
20,84,phenomenon,현상,800,3,Intermediate_800
20,85,record high,최고 기록,800,3,Intermediate_800
20,86,reset,(기계를) 다시 맞추다,800,3,Intermediate_800
20,87,see if,~인지 여부를 확인하다,800,3,Intermediate_800
20,88,sequel,"속편, 결과",800,3,Intermediate_800
