Day,No,Word,Meaning,Target_Score,TOEIC_Frequency,Word_Type,Difficulty,Theme,Synonyms,Antonyms,Related_Words
1,1,apply,"적용하다, 지원하다",650,10,verb,basic,인사/채용,"submit, register, implement","withdraw, retract","applicant, resume, deadline"
1,2,experience,"경험, 체험, 체험하다, 경험하다",650,10,noun,basic,인사/채용,"background, expertise, skill","inexperience, novice","qualification, resume, candidate"
1,3,position,"일자리,직책,두다",650,10,noun,basic,인사/채용,"role, occupation, post",none,"vacancy, applicant, salary"
1,4,professional,"전문적인,직업의,전문가",650,10,adjective,basic,인사/채용,"expert, skilled, competent","amateur, unskilled","qualification, expertise, specialized"
1,5,applicant,"지원자,신청자",650,10,noun,basic,인사/채용,"candidate, petitioner, job seeker","employer, recruiter","resume, interview, position"
1,6,interview,"면접,면접을 보다",650,10,noun,basic,인사/채용,"meeting, assessment, consultation",none,"hire, candidate, recruitment"
1,7,offer,"제공하다, 제공, 오퍼",650,10,noun,basic,인사/채용,"proposal, provide, bid","reject, deny","candidate, salary, negotiate"
1,8,join,~에 가입하다,650,10,verb,basic,인사/채용,"enroll, register, sign up","leave, withdraw","team, applicant, employment"
1,9,hire,고용하다,650,9,verb,basic,인사/채용,"employ, recruit, appoint","dismiss, fire, terminate","applicant, resume, interview"
1,10,qualified,"자격있는,적격의",650,9,adjective,basic,인사/채용,"eligible, competent, certified","unqualified, incompetent","certification, skill, applicant"
1,11,recruit,(신입 사원 등을)모집하다,650,9,verb,intermediate,인사/채용,"hire, employ, enlist","fire, dismiss","candidate, interview, applicant"
1,12,voluntarily,자발적으로,650,9,adverb,intermediate,인사/채용,"willingly, intentionally, spontaneously","involuntarily, obligatorily","participate, initiative, applicant"
1,13,specialize,"~을 전공하다,전문적으로 다루다",650,9,verb,intermediate,인사/채용,"focus, concentrate, major","generalize, diversify","expertise, professional, skilled"
1,14,reference,"추천서,참고",650,9,noun,intermediate,인사/채용,"referral, testimony, citation",none,"resume, recommendation, background check"
1,15,opening,"공석,결원;개장,개시",650,9,noun,basic,인사/채용,"vacancy, position, commencement","closure, full","recruit, candidate, applicant"
1,16,resume,이력서,650,9,noun,basic,인사/채용,"CV, application, profile",none,"interview, candidate, reference"
1,17,candidate,"후보자, 지원자",650,9,noun,basic,인사/채용,"applicant, interviewee, prospect",none,"resume, hiring, recruitment"
1,18,degree,학위,650,9,noun,basic,인사/채용,"qualification, certification, level",none,"diploma, education, requirement"
1,19,replacement,"교체, 후임자",650,9,noun,basic,인사/채용,"substitute, successor, proxy","original, predecessor","hire, vacant, equipment maintenance"
1,20,promising,"유망한, 전망이 좋은",650,9,adjective,intermediate,인사/채용,"hopeful, favorable, potential","disappointing, unlikely","outlook, prospective, candidate"
1,21,qualify,~의 자격을 얻다,650,9,verb,intermediate,인사/채용,"meet the requirements, be eligible, certify","disqualify, fail","credential, requirement, eligible"
1,22,coworker,"동료, 협력자",650,9,noun,basic,인사/채용,"colleague, associate, peer",none,"collaboration, staff, team"
1,23,select,"선발하다, 선택하다",650,9,verb,basic,인사/채용,"choose, pick, elect","reject, dismiss","candidate, recruit, interview"
1,24,skilled,"숙련된, 노련한",650,9,adjective,basic,인사/채용,"expert, proficient, competent","inexperienced, unskilled","qualification, expertise, training"
1,25,employer,고용주,650,9,noun,basic,인사/채용,"company, firm, proprietor","employee, applicant","hire, recruit, salary"
1,26,recommendation,"추천 사항, 추천",650,9,noun,intermediate,인사/채용,"suggestion, endorsement, advice","objection, rejection","reference, commendation, proposal"
1,27,appoint,"임명하다, 지명하다",650,9,verb,intermediate,인사/채용,"designate, nominate, select","dismiss, fire","interview, candidate, hire"
1,28,ability,능력,650,9,noun,basic,인사/채용,"capability, skill, competence","inability, incompetence","potential, qualification, performance"
1,29,diligent,성실한,650,8,adjective,intermediate,인사/채용,"conscientious, industrious, assiduous","lazy, neglectful","dedicated, performance, supervise"
1,30,certification,"증명서,증명",650,8,noun,intermediate,인사/채용,"accreditation, license, qualification",none,"qualified, credential, requirement"
1,31,proficiency,"숙달, 능숙",650,8,noun,intermediate,인사/채용,"competence, expertise, skill","inability, inexperience","certificate, qualified, assessment"
1,32,experienced,"경험이 있는, 노련한, 능숙한",650,8,adjective,basic,인사/채용,"seasoned, skilled, proficient","novice, inexperienced","qualification, expertise, professional"
1,33,capable,"~을 할 수 있는, ~할 능력이 있는",650,8,adjective,intermediate,인사/채용,"competent, able, skilled","incapable, unqualified","potential, expertise, fulfill"
1,34,dedicated,"(목표 등에) 전념하는, 헌신적인",650,8,adjective,intermediate,인사/채용,"committed, devoted, conscientious","indifferent, negligent","loyal, diligent, teamwork"
1,35,inexperienced,"경험 없는, 미숙한",650,8,adjective,intermediate,인사/채용,"novice, unskilled, unfamiliar","experienced, proficient","training, qualification, intern"
1,36,competent,"유능한, 능숙한",650,8,adjective,intermediate,인사/채용,"proficient, capable, qualified","incompetent, unskilled","expertise, assess, performance"
1,37,dismiss,"해임하다, 해고하다",650,8,verb,intermediate,인사/채용,"terminate, fire, discharge","hire, employ, retain","severance, employee, misconduct"
1,38,capability,"능력, 역량",650,8,noun,intermediate,인사/채용,"capacity, ability, competence","inability, incompetence","skill, qualification, proficiency"
1,39,nomination,"임명, 지명",650,8,noun,intermediate,인사/채용,"appointment, designation, selection","withdrawal, dismissal","candidate, hire, election"
1,40,resignation,"사임, 사직, 사직서",650,8,noun,intermediate,인사/채용,"quitting, departure, notice","hire, appointment","employment, retirement, severance"
1,41,accomplished,"숙련된, 노련한",650,7,adjective,advanced,인사/채용,"proficient, skilled, expert","novice, unskilled","professional, candidate, qualification"
1,42,confident,"확신하는, 자신 있는",650,7,adjective,intermediate,인사/채용,"assured, certain, convinced","doubtful, hesitant","interview, present, professional"
1,43,dedication,헌신,650,7,noun,intermediate,인사/채용,"commitment, devotion, loyalty","apathy, indifference","performance, motivation, employee"
1,44,biography,"약력, 전기",650,6,noun,intermediate,인사/채용,"profile, resume, curriculum vitae",none,"reference, applicant, background"
1,45,proficient,"능숙한,능한",650,5,other,intermediate,인사/채용,"skilled, expert, competent","inexperienced, novice","specialized, qualification, fluent"
1,46,impression,인상,650,5,other,intermediate,인사/채용,"perception, feeling, effect",none,"appearance, interview, presentation"
1,47,challenging,"도전적인,힘든",650,5,other,intermediate,인사/채용,"demanding, difficult, rigorous","easy, simple","assignment, responsibility, opportunity"
1,48,seek,"구하다, 찾다",650,5,other,intermediate,인사/채용,"pursue, look for, solicit","avoid, ignore","opportunity, applicant, effort"
1,49,permanent,영구적인,650,5,other,intermediate,인사/채용,"constant, lasting, fixed","temporary, brief","contract, stability, long-term"
1,50,innate,타고난,650,5,adjective,intermediate,인사/채용,"inherent, natural, intrinsic","acquired, learned","talent, potential, capacity"
1,51,immediately,"즉시, 곧",650,10,adverb,basic,사무/업무,"instantly, promptly, right away","eventually, later","urgent, schedule, deadline"
1,52,check,"검사, 검사하다, 조사하다, 확인하다",650,10,verb,basic,사무/업무,"inspect, verify, examine","overlook, neglect","audit, procedure, documentation"
