Day,No,Word,Meaning,Target_Score,Priority,Source_Type
1,1,resume,이력서,650,1,Headword_650
1,2,opening,"공석,결원;개장,개시",650,1,Headword_650
1,3,applicant,"지원자,신청자",650,1,Headword_650
1,4,requirement,"필요조건,요건",650,1,Headword_650
1,5,meet,(필요〮요구 등을 만족시키다),650,1,Headword_650
1,6,qualified,"자격있는,적격의",650,1,Headword_650
1,7,candidate,"후보자, 지원자",650,1,Headword_650
1,8,confidence,"확신,자신;신임",650,1,Headword_650
1,9,highly,"매우,대단히",650,1,Headword_650
1,10,professional,"전문적인,직업의,전문가",650,1,Headword_650
1,11,interview,"면접,면접을 보다",650,1,Headword_650
1,12,hire,고용하다,650,1,Headword_650
1,13,training,"교육,훈련",650,1,Headword_650
1,14,reference,"추천서,참고",650,1,Headword_650
1,15,position,"일자리,직책,두다",650,1,Headword_650
1,16,achievement,"성취,달성",650,1,Headword_650
1,17,impressed,"인상 깊게 생각하는, 감명을 받은",650,1,Headword_650
1,18,excellent,"훌륭한, 탁월한",650,1,Headword_650
1,19,eligible,"자격이 있는,적격의",650,1,Headword_650
1,20,identify,"알아보다, 확인하다",650,1,Headword_650
1,21,associate,관련시키다,650,1,Headword_650
1,22,condition,조건,650,1,Headword_650
1,23,employment,고용,650,1,Headword_650
1,24,lack,"~이 없다,부족",650,1,Headword_650
1,25,managerial,관리의,650,1,Headword_650
1,26,diligent,성실한,650,1,Headword_650
1,27,familiar,"익숙한,친숙한",650,1,Headword_650
1,28,proficiency,"숙달, 능숙",650,1,Headword_650
1,29,prospective,"장래의,미래의",650,1,Headword_650
1,30,appeal,"관심을 끌다, 매력적이다",650,1,Headword_650
1,31,specialize,"~을 전공하다,전문적으로 다루다",650,1,Headword_650
1,32,apprehensive,"걱정하는,염려하는",650,1,Headword_650
1,33,consultant,"고문,컨설턴트",650,1,Headword_650
1,34,entitle,자격을 주다,650,1,Headword_650
1,35,degree,학위,650,1,Headword_650
1,36,payroll,"임금 대장, 급료 명부",650,1,Headword_650
1,37,recruit,(신입 사원 등을)모집하다,650,1,Headword_650
1,38,certification,"증명서,증명",650,1,Headword_650
1,39,occupation,직업,650,1,Headword_650
1,40,wage,"임금, 급료",650,1,Headword_650
1,41,application form,신청서,650,2,Basic_LCRC_650
1,42,career,"직업,경력",650,2,Basic_LCRC_650
1,43,completion,"완료,완성",650,2,Basic_LCRC_650
1,44,fair,"공정한,타당한",650,2,Basic_LCRC_650
1,45,graduation,졸업,650,2,Basic_LCRC_650
1,46,in fact,사실은,650,2,Basic_LCRC_650
1,47,job fair,취업 박람회,650,2,Basic_LCRC_650
1,48,job offer,일자리 제안,650,2,Basic_LCRC_650
1,49,list,"목록,명단,목록에 기입하다",650,2,Basic_LCRC_650
1,50,newcomer,"새로 온 사람, 신입사원",650,2,Basic_LCRC_650
1,51,part-time,"파트타임의, 시간제의",650,2,Basic_LCRC_650
1,52,previous job,이전 직업,650,2,Basic_LCRC_650
1,53,secretary,비서,650,2,Basic_LCRC_650
1,54,send in,~을 제출하다,650,2,Basic_LCRC_650
1,55,tidy,"단정한, 깔끔한",650,2,Basic_LCRC_650
1,56,trainee,훈련받는 사람,650,2,Basic_LCRC_650
1,57,apply for,~에 지원하다,650,2,Basic_LCRC_650
1,58,aptitude,"재능,소질",650,2,Basic_LCRC_650
1,59,be admitted to,~에 입장이 허용되다,650,2,Basic_LCRC_650
1,60,be advised to do,~할 것을 권유받다,650,2,Basic_LCRC_650
1,61,criteria,기준(criterion의 복수형),650,2,Basic_LCRC_650
1,62,decade,10년,650,2,Basic_LCRC_650
1,63,employ,고용하다,650,2,Basic_LCRC_650
1,64,insufficient,불충분한,650,2,Basic_LCRC_650
1,65,minimum,"최소한도, 최소한의",650,2,Basic_LCRC_650
1,66,party,"단체,당사자,연회",650,2,Basic_LCRC_650
1,67,plentiful,풍부한,650,2,Basic_LCRC_650
1,68,profession,직업,650,2,Basic_LCRC_650
1,69,achieve one's goal,목표를 달성하다,800,3,Intermediate_800
1,70,apprentice,"견습생, 도제",800,3,Intermediate_800
1,71,dress formally,정장을 입다,800,3,Intermediate_800
1,72,dressed in suit,정장을 입은,800,3,Intermediate_800
1,73,figure out,~을 알아내다,800,3,Intermediate_800
1,74,full time work,정규직,800,3,Intermediate_800
1,75,job opportunity,취업 기회,800,3,Intermediate_800
1,76,job search,구직,800,3,Intermediate_800
